"content_resource_id","chapter_number","section_number","zybook_id","parts"
631707,1,3,19,2
631713,1,3,19,1
631717,1,3,19,2
631743,1,4,19,1
631845,1,11,19,2
631991,2,1,19,4
632011,2,2,19,8
632015,2,2,19,3
632017,2,2,19,4
632043,2,4,19,5
632051,2,4,19,4
632055,2,4,19,8
632063,2,4,19,4
632082,2,6,19,3
632086,2,6,19,5
632149,2,7,19,1
632160,2,7,19,1
632174,2,8,19,3
632176,2,8,19,1
632180,2,8,19,3
632187,2,8,19,3
632129,2,11,19,4
632131,2,11,19,2
632144,2,12,19,4
632214,2,14,19,3
632225,2,15,19,2
632118,3,1,19,5
633076,3,2,19,5
633088,3,3,19,4
633095,3,3,19,2
633189,3,12,19,2
633207,3,13,19,3
633260,3,18,19,3
633270,3,18,19,3
633307,3,19,19,3
632405,4,1,19,5
632407,4,1,19,3
632411,4,1,19,2
632415,4,1,19,3
632424,4,2,19,9
632429,4,2,19,2
632450,4,3,19,3
632452,4,3,19,1
632456,4,3,19,4
632458,4,3,19,5
632466,4,3,19,2
632481,4,4,19,6
632522,4,5,19,2
632502,4,6,19,3
632511,4,6,19,5
632535,4,7,19,1
632548,4,9,19,5
632552,4,9,19,7
632610,5,2,19,3
632614,5,2,19,5
632620,5,2,19,5
632632,5,3,19,4
632636,5,3,19,4
632647,5,4,19,3
632656,5,4,19,4
632665,5,4,19,2
632676,5,5,19,5
632702,5,6,19,2
632704,5,6,19,2
632729,5,8,19,2
632755,5,10,19,4
632778,6,1,19,6
632795,6,2,19,5
632865,6,4,19,3
632905,6,5,19,2
633020,6,8,19,4
633031,6,9,19,2
633054,6,11,19,7
633064,6,11,19,7
633071,6,12,19,7
632818,6,13,19,4
632834,6,14,19,2
632840,6,14,19,3
632929,6,17,19,6
632947,6,18,19,3
632970,6,19,19,1
634116,7,3,19,3
634113,7,6,19,2
634087,7,7,19,4
633640,8,2,19,4
633646,8,2,19,11
633724,8,7,19,3
633715,8,8,19,2
633592,8,9,19,7
633604,8,10,19,2
633606,8,10,19,2
633611,8,11,19,3
633748,8,14,19,6
633932,9,1,19,4
633936,9,1,19,3
633950,9,2,19,4
633967,9,3,19,4
633980,9,4,19,4
634020,9,9,19,3
634042,9,11,19,2
634179,11,2,19,3
634192,11,3,19,2
652117,14,4,19,1
652123,14,4,19,1
652127,14,4,19,1
652142,14,5,19,1
652148,14,5,19,2
645008,15,1,19,2
645021,15,2,19,8
645025,15,2,19,3
645041,15,3,19,2
645055,15,5,19,5
645060,15,5,19,1
645071,15,6,19,4
645079,15,6,19,4
645084,15,6,19,10
645086,15,6,19,2
645112,15,8,19,1
645124,15,8,19,2
664477,16,1,19,3
664488,16,1,19,2
664497,16,2,19,9
664502,16,2,19,7
664504,16,2,19,2
664508,16,2,19,2
664521,16,3,19,3
664533,16,3,19,2
664548,16,4,19,6
664573,16,5,19,4
664583,16,6,19,1
664598,16,7,19,3
673269,17,2,19,3
673273,17,2,19,4
673282,17,2,19,4
673292,17,3,19,4
673299,17,3,19,2
673311,17,4,19,2
673313,17,4,19,3
673322,17,4,19,4
673331,17,4,19,2
673348,17,5,19,3
673354,17,5,19,3
673368,17,6,19,4
673384,17,8,19,4
673405,17,10,19,2
673432,17,12,19,1
645795,18,1,19,2
645806,18,1,19,3
645810,18,1,19,2
645826,18,2,19,4
645872,18,4,19,2
645878,18,4,19,1
645885,18,5,19,3
633138,19,2,19,3
633142,19,2,19,3
632569,19,3,19,4
632589,19,4,19,5
633691,19,7,19,1
136339,1,3,45,2
136345,1,3,45,1
136349,1,3,45,2
136372,1,4,45,2
136470,1,11,45,2
136479,2,1,45,4
136498,2,2,45,8
136502,2,2,45,3
136504,2,2,45,4
136521,2,4,45,5
136529,2,4,45,4
136533,2,4,45,8
136541,2,4,45,4
136553,2,5,45,3
136557,2,5,45,5
136588,2,8,45,5
136597,2,9,45,4
136599,2,9,45,2
136613,2,10,45,4
136618,2,11,45,1
136629,2,11,45,1
136642,2,12,45,3
136644,2,12,45,2
136648,2,12,45,2
136655,2,12,45,3
136682,2,15,45,3
136693,2,16,45,2
136704,2,17,45,8
136710,2,17,45,3
136747,3,1,45,5
136749,3,1,45,3
136753,3,1,45,2
136757,3,1,45,3
136766,3,2,45,9
136771,3,2,45,2
136793,3,3,45,3
136795,3,3,45,1
136799,3,3,45,4
136801,3,3,45,5
136809,3,3,45,2
136827,3,4,45,6
136850,3,5,45,3
136859,3,5,45,5
136872,3,6,45,2
136887,3,7,45,1
136902,3,8,45,5
136908,3,8,45,3
136937,3,10,45,5
137030,4,2,45,3
137034,4,2,45,5
137040,4,2,45,5
137054,4,3,45,4
137058,4,3,45,4
137069,4,4,45,3
137078,4,4,45,4
137087,4,4,45,2
137100,4,5,45,5
137128,4,6,45,2
137130,4,6,45,2
137157,4,8,45,2
137178,4,10,45,4
137201,5,1,45,6
137218,5,2,45,5
137232,5,4,45,3
137257,5,5,45,2
137271,5,6,45,1
137303,5,9,45,4
137314,5,10,45,2
137337,5,12,45,7
137347,5,12,45,7
137356,5,13,45,7
137361,5,14,45,3
137366,6,1,45,5
137380,6,2,45,4
137387,6,2,45,2
137433,6,5,45,3
137437,6,5,45,3
137484,6,9,45,4
137537,6,13,45,3
137547,6,13,45,3
137584,6,18,45,3
137707,7,1,45,7
137715,7,2,45,2
137717,7,2,45,2
137722,7,3,45,3
137864,8,1,45,2
137882,8,2,45,4
137898,8,3,45,3
137905,8,4,45,5
137916,8,5,45,4
137923,8,6,45,3
137931,8,6,45,2
137940,8,7,45,2
137957,8,8,45,8
137968,8,9,45,2
138211,9,1,45,4
138216,9,2,45,3
138225,9,3,45,3
138231,9,3,45,3
138237,9,3,45,4
138244,9,4,45,2
138251,9,4,45,2
138259,9,4,45,3
138272,9,5,45,4
138289,9,6,45,3
138294,9,7,45,2
138320,10,2,45,3
138331,10,3,45,2
345851,1,3,47,2
345857,1,3,47,1
345861,1,3,47,2
345884,1,4,47,1
345982,1,11,47,2
345984,1,11,47,1
353965,2,1,47,4
353984,2,2,47,8
353988,2,2,47,3
353990,2,2,47,4
354013,2,4,47,5
354021,2,4,47,4
354025,2,4,47,8
354033,2,4,47,4
354049,2,5,47,3
354053,2,5,47,5
354084,2,8,47,5
354093,2,9,47,4
354095,2,9,47,2
354109,2,10,47,4
354114,2,11,47,1
354125,2,11,47,1
354136,2,12,47,3
354138,2,12,47,1
354142,2,12,47,3
354149,2,12,47,3
354179,2,15,47,2
290231,3,1,47,5
290233,3,1,47,3
290237,3,1,47,2
290241,3,1,47,3
290249,3,2,47,9
290271,3,3,47,3
